[WARNING] 2026-05-24 08:55:46,240 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:47,251 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:48,264 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:49,275 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:50,291 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:51,301 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:52,314 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:53,327 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:54,343 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:55,344 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:56,346 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:57,356 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:58,367 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:59,375 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:00,380 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:01,394 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:02,404 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:03,417 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:04,428 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:05,440 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:06,450 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:07,463 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:08,471 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:09,477 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:10,493 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:11,506 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:56:12,513 | Worker unhealthy | name=CameraWorker | reason=failed
